age,workclass,education,marital-status,occupation,race,sex,hours-per-week,native-country,income
39,State-gov,Bachelors,Never-married,Adm-clerical,White,Male,40,United-States,<=50K
50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,13,United-States,<=50K
38,Private,HS-grad,Divorced,Handlers-cleaners,White,Male,40,United-States,<=50K
53,Private,11th,Married-civ-spouse,Exec-managerial,Black,Male,40,United-States,<=50K
28,Private,Bachelors,Married-civ-spouse,Prof-specialty,Black,Female,40,Cuba,<=50K
37,Private,Masters,Married-civ-spouse,Exec-managerial,White,Female,40,United-States,<=50K
49,Private,9th,Married-spouse-absent,Other-service,Black,Female,16,Jamaica,<=50K
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,>50K
31,Private,Masters,Never-married,Prof-specialty,White,Female,50,United-States,>50K
42,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
30,Private,Some-college,Married-civ-spouse,Prof-specialty,Black,Male,40,United-States,>50K
23,,Bachelors,Never-married,,White,Female,30,United-States,<=50K
32,Private,Assoc-acdm,Never-married,Sales,White,Male,50,United-States,<=50K
40,Private,Assoc-voc,Married-civ-spouse,Craft-repair,White,Male,40,United-States,>50K
34,Private,7th-8th,Married-civ-spouse,Transport-moving,Amer-Indian-Eskimo,Male,45,Mexico,<=50K
25,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,35,United-States,<=50K
32,Private,HS-grad,Never-married,Machine-op-inspct,White,Male,40,United-States,<=50K
38,Private,11th,Married-civ-spouse,Sales,White,Male,50,United-States,<=50K
43,,Masters,Divorced,,White,Female,45,,>50K
67,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,35,United-States,>50K
